               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.039344,             0.01088,           0.0066685,             0.87585,             0.56238,             0.61456,             0.30083,            0.040528,           0.0086916,           0.0097479,           0.0092886,           0.0092886,           0.0092886
                 129,            0.040313,            0.011185,           0.0071271,              0.8801,             0.55995,             0.60856,              0.2919,            0.042247,           0.0087473,            0.010052,           0.0092777,           0.0092777,           0.0092777
                 130,            0.039532,            0.011011,           0.0072384,             0.86278,             0.57717,             0.61449,             0.30019,             0.04157,            0.008548,            0.010918,           0.0092667,           0.0092667,           0.0092667
                 131,            0.040835,             0.01125,           0.0071177,              0.8616,             0.55463,             0.60234,             0.29275,            0.041318,           0.0087941,             0.01091,           0.0092556,           0.0092556,           0.0092556
                 132,            0.040081,            0.011033,            0.007627,             0.88121,              0.5557,             0.61879,             0.30064,            0.041464,           0.0088728,           0.0091934,           0.0092444,           0.0092444,           0.0092444
                 133,            0.041042,            0.010708,           0.0065557,             0.87445,             0.55871,              0.6161,              0.3048,            0.040799,           0.0088357,           0.0099575,           0.0092332,           0.0092332,           0.0092332
                 134,            0.039887,            0.011073,           0.0065915,             0.87668,             0.57314,             0.61217,             0.30224,            0.041205,            0.008748,            0.010286,           0.0092219,           0.0092219,           0.0092219
                 135,            0.039897,            0.011376,           0.0070144,             0.88035,             0.55746,             0.61042,             0.30697,            0.040462,           0.0088627,           0.0096222,           0.0092105,           0.0092105,           0.0092105
                 136,            0.039684,            0.010454,           0.0073688,             0.85311,             0.57129,             0.60461,             0.29567,            0.040761,            0.008856,            0.010235,            0.009199,            0.009199,            0.009199
                 137,            0.039688,            0.010958,           0.0063414,             0.85905,             0.57329,             0.61503,             0.30144,            0.041623,           0.0086508,           0.0096031,           0.0091875,           0.0091875,           0.0091875
                 138,            0.039425,            0.010883,           0.0064204,             0.86546,             0.59291,             0.63034,             0.31136,            0.041142,           0.0086235,           0.0088271,           0.0091759,           0.0091759,           0.0091759
                 139,            0.038687,            0.010998,           0.0061333,             0.86907,             0.57837,             0.62605,             0.30692,            0.041446,           0.0085359,           0.0091162,           0.0091642,           0.0091642,           0.0091642
                 140,            0.038866,            0.011011,            0.006162,             0.88683,             0.56922,             0.62668,             0.31479,            0.040767,           0.0086707,           0.0083439,           0.0091524,           0.0091524,           0.0091524
                 141,            0.039534,            0.010672,           0.0065205,             0.87229,             0.57709,             0.63319,             0.31396,            0.040815,           0.0087278,           0.0085667,           0.0091406,           0.0091406,           0.0091406
                 142,            0.038964,            0.011331,           0.0063023,             0.89143,             0.57885,             0.62666,             0.31146,            0.039667,           0.0086424,           0.0088534,           0.0091287,           0.0091287,           0.0091287
